,Percentage,Amount to liquidate,Cum sum liquidate,Value_Perc
2749,-0.8774898992017106,90604.54861249,396533784.8120569,0.12251010079828939
2750,-0.8785681336770359,191156.55136343988,396724941.36342037,0.1214318663229641
2751,-0.8789320556429436,23729.408681880228,396748670.77210224,0.12106794435705637
2752,-0.8790145812098946,216.5919178084745,396748887.36402005,0.12098541879010538
2753,-0.8795682762932611,1527.1403159653607,396750414.504336,0.12043172370673894
2754,-0.8797986193555833,15429.217129175939,396765843.7214652,0.12020138064441666
2755,-0.8802100086131242,1.1045358231561997,396765844.826001,0.11978999138687585
2756,-0.8805606305420461,30493.729614303764,396796338.5556153,0.11943936945795386
2757,-0.8813748029689374,29.703863440256104,396796368.25947875,0.11862519703106256
2758,-0.8832743060638903,48513.111300373734,396844881.3707791,0.11672569393610965
2759,-0.8836106655728266,475.80103012033794,396845357.1718092,0.11638933442717336
2760,-0.8837152610670029,2153.9272383266043,396847511.09904754,0.11628473893299707
2761,-0.8840416135492042,17665.1200886571,396865176.2191362,0.11595838645079581
2762,-0.8848167523423609,180.67276261738948,396865356.8918988,0.1151832476576391
2763,-0.8849746613617482,518.9542137740023,396865875.8461126,0.11502533863825182
2764,-0.8858002216969281,5927589.4198536975,402793465.2659663,0.11419977830307193
2765,-0.8859084677036406,3.2250833829919365,402793468.4910497,0.11409153229635938
2766,-0.8862311241701721,123845.2204525317,402917313.71150225,0.11376887582982786
2767,-0.8863493293304676,1427.5890140226675,402918741.30051625,0.11365067066953238
2768,-0.8872802872802874,1035.01418028,402919776.31469655,0.1127197127197126
2769,-0.8896194424488415,0.641716411821682,402919776.956413,0.1103805575511585
2770,-0.8900346265994532,72787.91327632758,402992564.8696893,0.1099653734005468
2771,-0.8902215166335463,15645.709386273076,403008210.5790756,0.10977848336645368
2772,-0.8904209799383378,119943.81681883923,403128154.3958944,0.1095790200616622
2773,-0.8912419375413099,549970.5453694065,403678124.9412638,0.10875806245869013
2774,-0.8914657401809478,3796.0321288656264,403681920.97339267,0.10853425981905218
2775,-0.8940127663136408,0.02201041387284277,403681920.99540305,0.1059872336863592
2776,-0.8945046937808729,54627.73838928328,403736548.7337923,0.10549530621912706
2777,-0.8945952674344764,101301.70218286336,403837850.4359752,0.10540473256552363
2778,-0.8965148542034418,8525.109478377079,403846375.54545355,0.10348514579655821
2779,-0.89974630426941,0.71266285,403846376.2581164,0.10025369573058995
2780,-0.9001511900056107,3473.9958883977815,403849850.25400484,0.09984880999438928
2781,-0.9003108602640475,2.1907878662554725,403849852.4447927,0.0996891397359525
2782,-0.9019330699492805,24437.245287208254,403874289.69007987,0.09806693005071954
2783,-0.9049782891324061,16225.187423300496,403890514.87750316,0.09502171086759392
2784,-0.9055855598345153,7966.708504004333,403898481.5860072,0.09441444016548473
2785,-0.9060597484602544,124.79206760307474,403898606.37807477,0.09394025153974561
2786,-0.9067068380245107,73609.72995084216,403972216.1080256,0.09329316197548931
2787,-0.9076104884546059,2049.049684651193,403974265.15771025,0.0923895115453941
2788,-0.9095772076009268,21819.38010139441,403996084.53781164,0.09042279239907325
2789,-0.9101664943861676,28.180704148470113,403996112.7185158,0.08983350561383241
2790,-0.9128102652361392,57056.89358447,404053169.6121003,0.08718973476386083
2791,-0.9140400945493807,5.179735465302938,404053174.7918358,0.08595990545061927
2792,-0.9145042920041657,20601.13044168,404073775.92227745,0.08549570799583428
2793,-0.9158205669065811,438462.8983973009,404512238.8206748,0.08417943309341891
2794,-0.9174589946983587,22420.99644321183,404534659.817118,0.08254100530164132
2795,-0.9181993199278855,780.2121216724677,404535440.02923965,0.0818006800721145
2796,-0.9189934074014592,439658.66406997846,404975098.6933096,0.08100659259854082
2797,-0.9194809431045399,346594.3260671254,405321693.01937675,0.08051905689546013
2798,-0.9212175041663604,9656.902598928966,405331349.9219757,0.07878249583363961
2799,-0.9214949870433791,0.8274924794303167,405331350.74946815,0.07850501295662093
2800,-0.922603110426115,19.531012663647775,405331370.2804808,0.07739688957388502
2801,-0.92566900446144,82483.79472326384,405413854.0752041,0.07433099553856004
2802,-0.9278024890833059,93061.17244977743,405506915.24765384,0.07219751091669413
2803,-0.9281252429305438,21.82604751,405506937.0737014,0.07187475706945623
2804,-0.9296481736004552,174128.1955393297,405681065.26924074,0.07035182639954485
2805,-0.9303811625882739,4829.139633893515,405685894.40887463,0.06961883741172614
2806,-0.9306766710812373,565118.4696885366,406251012.87856317,0.0693233289187627
2807,-0.9312596237473632,1.4241628616744426,406251014.30272603,0.06874037625263685
2808,-0.9320401120522142,19639.043355238133,406270653.34608126,0.06795988794778585
2809,-0.9336414502981547,227.28594328475518,406270880.6320245,0.06635854970184529
2810,-0.934365517032492,2.6644928418419087,406270883.2965174,0.06563448296750796
2811,-0.9344020074013839,211241.17845113206,406482124.4749685,0.0655979925986161
2812,-0.9344244367370276,0.7798755944121384,406482125.25484407,0.06557556326297242
2813,-0.9348619578836652,458620.6221668284,406940745.8770109,0.06513804211633478
2814,-0.9356491817970549,249.23312661205208,406940995.1101375,0.06435081820294508
2815,-0.9362975000269558,131.14914751,406941126.25928503,0.06370249997304422
2816,-0.937075820678124,6.976686078958796,406941133.2359711,0.062924179321876
2817,-0.9376086307928164,5.636139150330985,406941138.87211025,0.06239136920718358
2818,-0.9384446404610525,123019.75383814024,407064158.62594837,0.06155535953894753
2819,-0.9396453122487027,84.98525760566207,407064243.611206,0.060354687751297265
2820,-0.9402268138596006,71648.73101408711,407135892.34222007,0.05977318614039939
2821,-0.9404044533698284,4393.251246273103,407140285.59346634,0.059595546630171636
2822,-0.9407569305120678,156.07345871380141,407140441.6669251,0.05924306948793223
2823,-0.9427561369883053,619286.42491305,407759728.0918381,0.05724386301169471
2824,-0.9435250232129746,8648.327736417472,407768376.41957456,0.0564749767870254
2825,-0.9441977291548505,77.96868709159484,407768454.3882617,0.05580227084514955
2826,-0.9443002437369168,62.80240809,407768517.1906698,0.05569975626308321
2827,-0.9451689733112427,15.593302572809472,407768532.7839723,0.05483102668875728
2828,-0.9452575635878031,4352.253095109037,407772885.0370674,0.05474243641219689
2829,-0.9459659005471235,76335.56405950054,407849220.6011269,0.054034099452876516
2830,-0.9461484089727381,0.6094464334987989,407849221.2105733,0.05385159102726189
2831,-0.9479114043977028,81090.99791331,407930312.2084866,0.05208859560229717
